date,city,price
1987-12-01,NV-Las Vegas,66.66
1987-12-01,NY-New York,84.41
1987-12-01,OH-Cleveland,56.38
1987-12-01,OR-Portland,41.88
1987-12-01,TX-Dallas,
1987-12-01,WA-Seattle,
1987-12-01,Composite-10,70.22
1987-12-01,Composite-20,
1987-12-01,National-US,68.36
1988-01-01,AZ-Phoenix,
1988-01-01,CA-Los Angeles,68.66
1988-01-01,CA-San Diego,59.86
1988-01-01,CA-San Francisco,52.24
1988-01-01,CO-Denver,49.35
1988-01-01,DC-Washington,74.07
1988-01-01,FL-Miami,71.66
1988-01-01,FL-Tampa,79.36
1988-01-01,GA-Atlanta,
1988-01-01,IL-Chicago,61.2
1988-01-01,MA-Boston,74.4
1988-01-01,MI-Detroit,
1988-01-01,MN-Minneapolis,
1988-01-01,NC-Charlotte,67.61
1988-01-01,NV-Las Vegas,66.64
1988-01-01,NY-New York,84.12
1988-01-01,OH-Cleveland,56.44
1988-01-01,OR-Portland,41.61
1988-01-01,TX-Dallas,
1988-01-01,WA-Seattle,
1988-01-01,Composite-10,70.45
1988-01-01,Composite-20,
1988-01-01,National-US,68.6
1988-02-01,AZ-Phoenix,
1988-02-01,CA-Los Angeles,69.36
1988-02-01,CA-San Diego,60.12
1988-02-01,CA-San Francisco,52.64
1988-02-01,CO-Denver,49.27
1988-02-01,DC-Washington,74.88
1988-02-01,FL-Miami,71.68
1988-02-01,FL-Tampa,79.21
1988-02-01,GA-Atlanta,
1988-02-01,IL-Chicago,62.78
1988-02-01,MA-Boston,74.02
1988-02-01,MI-Detroit,
1988-02-01,MN-Minneapolis,
1988-02-01,NC-Charlotte,67.44
1988-02-01,NV-Las Vegas,65.89
1988-02-01,NY-New York,83.92
1988-02-01,OH-Cleveland,56.45
1988-02-01,OR-Portland,41.48
1988-02-01,TX-Dallas,
1988-02-01,WA-Seattle,
1988-02-01,Composite-10,70.77
1988-02-01,Composite-20,
1988-02-01,National-US,68.93
1988-03-01,AZ-Phoenix,
1988-03-01,CA-Los Angeles,70.14
1988-03-01,CA-San Diego,60.87
1988-03-01,CA-San Francisco,53.19
1988-03-01,CO-Denver,48.85
1988-03-01,DC-Washington,76.04
1988-03-01,FL-Miami,72.19
1988-03-01,FL-Tampa,79.26
1988-03-01,GA-Atlanta,
1988-03-01,IL-Chicago,64.45
1988-03-01,MA-Boston,73.4
1988-03-01,MI-Detroit,
1988-03-01,MN-Minneapolis,
